"Peak1","Peak2","coaccess"
"chr2:101796073-101798348","chr2:102001908-102004556",0.235832106282276
"chr2:101796073-101798348","chr2:102036834-102039648",0.246620293876941
"chr2:101796073-101798348","chr2:102127978-102129744",0.236575114993748
"chr2:101796073-101798348","chr2:102184759-102187018",0.324439460849693
"chr2:101860918-101861523","chr2:101591252-101593470",0.319118213063311
"chr2:101860918-101861523","chr2:101722416-101723862",0.227107776066989
"chr2:101860918-101861523","chr2:101796073-101798348",0.271234745578311
"chr2:101860918-101861523","chr2:101862120-101863452",0.566616081369777
"chr2:101860918-101861523","chr2:101964917-101966469",0.390666656992178
"chr2:101860918-101861523","chr2:101977538-101981036",0.423828875872333
"chr2:101860918-101861523","chr2:101981793-101984084",0.254791734226949
"chr2:101860918-101861523","chr2:102001908-102004556",0.209797562319734
"chr2:101860918-101861523","chr2:102184759-102187018",0.305586745282181
"chr2:101862120-101863452","chr2:101591252-101593470",0.505005181234769
"chr2:101862120-101863452","chr2:101608244-101609047",0.258597670249337
"chr2:101862120-101863452","chr2:101722416-101723862",0.3415154654442
"chr2:101862120-101863452","chr2:101796073-101798348",0.388052083655224
"chr2:101862120-101863452","chr2:101860918-101861523",0.566616081369777
"chr2:101862120-101863452","chr2:101964917-101966469",0.587932341054345
"chr2:101862120-101863452","chr2:101977538-101981036",0.480949778750306
"chr2:101862120-101863452","chr2:101981793-101984084",0.363601046388688
"chr2:101862120-101863452","chr2:102001908-102004556",0.330785959174422
"chr2:101862120-101863452","chr2:102036834-102039648",0.241798365933685
"chr2:101862120-101863452","chr2:102127978-102129744",0.2114405416372
"chr2:101862120-101863452","chr2:102184759-102187018",0.409304244611284
"chr2:101871006-101871694","chr2:101591252-101593470",0.343422516346082
"chr2:101871006-101871694","chr2:102001908-102004556",0.237865448820771
"chr2:101950805-101951480","chr2:101591252-101593470",0.29322629433766
"chr2:101960700-101961104","chr2:101690199-101690799",0.503110164880862
"chr2:101960700-101961104","chr2:101962229-101962689",0.207725696973323
"chr2:101960700-101961104","chr2:102029344-102031139",0.263170291428242
"chr2:101960700-101961104","chr2:102049910-102050970",0.545349371178765
"chr2:101960700-101961104","chr2:102056988-102057798",0.539069382458045
"chr2:101962229-101962689","chr2:101960700-101961104",0.207725696973323
"chr2:101964917-101966469","chr2:101591252-101593470",0.627079825343254
"chr2:101964917-101966469","chr2:101608244-101609047",0.320165469552479
"chr2:101964917-101966469","chr2:101722416-101723862",0.391174566982364
"chr2:101964917-101966469","chr2:101796073-101798348",0.436038126899266
"chr2:101964917-101966469","chr2:101860918-101861523",0.390666656992178
"chr2:101964917-101966469","chr2:101862120-101863452",0.587932341054345
"chr2:101964917-101966469","chr2:101977538-101981036",0.563885050243632
"chr2:101964917-101966469","chr2:101981793-101984084",0.324537281485014
"chr2:101964917-101966469","chr2:102001908-102004556",0.345622231326704
"chr2:101964917-101966469","chr2:102036834-102039648",0.303292182908069
"chr2:101964917-101966469","chr2:102127978-102129744",0.287531747427743
"chr2:101964917-101966469","chr2:102130398-102130912",0.303063081485623
"chr2:101964917-101966469","chr2:102184759-102187018",0.4633059962847
"chr2:101977538-101981036","chr2:101591252-101593470",0.410392439908079
"chr2:101977538-101981036","chr2:101608244-101609047",0.22389859662105
"chr2:101977538-101981036","chr2:101722416-101723862",0.334939031288037
"chr2:101977538-101981036","chr2:101796073-101798348",0.440448349511981
"chr2:101977538-101981036","chr2:101860918-101861523",0.423828875872333
"chr2:101977538-101981036","chr2:101862120-101863452",0.480949778750306
"chr2:101977538-101981036","chr2:101964917-101966469",0.563885050243632
"chr2:101977538-101981036","chr2:101981793-101984084",0.417571057283333
"chr2:101977538-101981036","chr2:102001908-102004556",0.26403569724438
"chr2:101977538-101981036","chr2:102036834-102039648",0.301828330164214
"chr2:101977538-101981036","chr2:102127978-102129744",0.220532589110623
"chr2:101977538-101981036","chr2:102130398-102130912",0.205449845449029
"chr2:101977538-101981036","chr2:102184759-102187018",0.444027698905087
"chr2:101981793-101984084","chr2:101591252-101593470",0.23319379023134
"chr2:101981793-101984084","chr2:101722416-101723862",0.209345821782709
"chr2:101981793-101984084","chr2:101796073-101798348",0.350984188241602
"chr2:101981793-101984084","chr2:101860918-101861523",0.254791734226949
"chr2:101981793-101984084","chr2:101862120-101863452",0.363601046388688
"chr2:101981793-101984084","chr2:101964917-101966469",0.324537281485014
"chr2:101981793-101984084","chr2:101977538-101981036",0.417571057283333
"chr2:101981793-101984084","chr2:102184759-102187018",0.286769349651604
"chr2:102001908-102004556","chr2:101796073-101798348",0.235832106282276
"chr2:102001908-102004556","chr2:101860918-101861523",0.209797562319734
"chr2:102001908-102004556","chr2:101862120-101863452",0.330785959174422
"chr2:102001908-102004556","chr2:101871006-101871694",0.237865448820771
"chr2:102001908-102004556","chr2:101964917-101966469",0.345622231326704
"chr2:102001908-102004556","chr2:101977538-101981036",0.26403569724438
"chr2:102001908-102004556","chr2:102036834-102039648",0.325061787609381
"chr2:102001908-102004556","chr2:102127978-102129744",0.218588377790984
"chr2:102001908-102004556","chr2:102184759-102187018",0.219534836815519
"chr2:102001908-102004556","chr2:102406015-102408412",0.379277522180911
"chr2:102001908-102004556","chr2:102447704-102448244",0.260241288710156
"chr2:102001908-102004556","chr2:102463396-102464626",0.399600298986511
"chr2:102005368-102006786","chr2:102029344-102031139",0.429260549013648
"chr2:102005368-102006786","chr2:102056988-102057798",0.21940374427993
"chr2:102005368-102006786","chr2:102223041-102224521",0.219703397581761
"chr2:102005368-102006786","chr2:102399499-102401874",0.272823227819037
"chr2:102024227-102025310","chr2:102430955-102431875",0.202660134070905
"chr2:102029344-102031139","chr2:101960700-101961104",0.263170291428242
"chr2:102029344-102031139","chr2:102005368-102006786",0.429260549013648
"chr2:102029344-102031139","chr2:102032708-102034505",0.206309908703977
"chr2:102029344-102031139","chr2:102049910-102050970",0.376042115392857
"chr2:102029344-102031139","chr2:102056988-102057798",0.411796950396254
"chr2:102029344-102031139","chr2:102256955-102259648",0.302838041815944
"chr2:102029344-102031139","chr2:102336732-102337325",0.264550442702649
"chr2:102029344-102031139","chr2:102399499-102401874",0.283371468224473
"chr2:102032708-102034505","chr2:102029344-102031139",0.206309908703977
"chr2:102036834-102039648","chr2:101796073-101798348",0.246620293876941
"chr2:102036834-102039648","chr2:101862120-101863452",0.241798365933685
"chr2:102036834-102039648","chr2:101964917-101966469",0.303292182908069
"chr2:102036834-102039648","chr2:101977538-101981036",0.301828330164214
"chr2:102036834-102039648","chr2:102001908-102004556",0.325061787609381
"chr2:102036834-102039648","chr2:102127978-102129744",0.302406786649368
"chr2:102036834-102039648","chr2:102184759-102187018",0.238350917287451
"chr2:102036834-102039648","chr2:102223041-102224521",0.279361894980746
"chr2:102036834-102039648","chr2:102336732-102337325",0.265370743759333
"chr2:102036834-102039648","chr2:102406015-102408412",0.259834526721608
"chr2:102036834-102039648","chr2:102447704-102448244",0.204725035214545
"chr2:102036834-102039648","chr2:102463396-102464626",0.312925871015979
"chr2:102045822-102046430","chr2:102145986-102147149",0.442337185410265
"chr2:102049910-102050970","chr2:101960700-101961104",0.545349371178765
"chr2:102049910-102050970","chr2:102029344-102031139",0.376042115392857
"chr2:102049910-102050970","chr2:102056988-102057798",0.827750850559845
"chr2:102049910-102050970","chr2:102277242-102278333",0.46659366925993
"chr2:102052354-102053633","chr2:102091284-102092509",0.329285077221622
"chr2:102052354-102053633","chr2:102145986-102147149",0.234716810228193
"chr2:102052354-102053633","chr2:102201085-102202603",0.297557578657196
"chr2:102056988-102057798","chr2:101960700-101961104",0.539069382458045
"chr2:102056988-102057798","chr2:102005368-102006786",0.21940374427993
"chr2:102056988-102057798","chr2:102029344-102031139",0.411796950396254
"chr2:102056988-102057798","chr2:102049910-102050970",0.827750850559845
"chr2:102056988-102057798","chr2:102277242-102278333",0.460318269057402
"chr2:102056988-102057798","chr2:102336732-102337325",0.219069583875174
"chr2:102091284-102092509","chr2:102052354-102053633",0.329285077221622
"chr2:102091284-102092509","chr2:102145986-102147149",0.234295600372382
"chr2:102094306-102095788","chr2:102430955-102431875",0.298041477189156
"chr2:102100093-102100637","chr2:102463396-102464626",0.249459041744893
"chr2:102127978-102129744","chr2:101796073-101798348",0.236575114993748
"chr2:102127978-102129744","chr2:101862120-101863452",0.2114405416372
"chr2:102127978-102129744","chr2:101964917-101966469",0.287531747427743
"chr2:102127978-102129744","chr2:101977538-101981036",0.220532589110623
"chr2:102127978-102129744","chr2:102001908-102004556",0.218588377790984
"chr2:102127978-102129744","chr2:102036834-102039648",0.302406786649368
"chr2:102127978-102129744","chr2:102130398-102130912",0.400288737003569
"chr2:102127978-102129744","chr2:102406015-102408412",0.322970837110998
"chr2:102127978-102129744","chr2:102447704-102448244",0.209563812801062
"chr2:102127978-102129744","chr2:102463396-102464626",0.340393295666629
"chr2:102130398-102130912","chr2:101964917-101966469",0.303063081485623
"chr2:102130398-102130912","chr2:101977538-101981036",0.205449845449029
"chr2:102130398-102130912","chr2:102127978-102129744",0.400288737003569
"chr2:102130398-102130912","chr2:102463396-102464626",0.246166589762051
"chr2:102145986-102147149","chr2:102045822-102046430",0.442337185410265
"chr2:102145986-102147149","chr2:102052354-102053633",0.234716810228193
"chr2:102145986-102147149","chr2:102091284-102092509",0.234295600372382
"chr2:102145986-102147149","chr2:102201085-102202603",0.348404715983307
"chr2:10215993-10217222","chr2:10153312-10154208",0.243638558039441
"chr2:102184759-102187018","chr2:101796073-101798348",0.324439460849693
"chr2:102184759-102187018","chr2:101860918-101861523",0.305586745282181
"chr2:102184759-102187018","chr2:101862120-101863452",0.409304244611284
"chr2:102184759-102187018","chr2:101964917-101966469",0.4633059962847
"chr2:102184759-102187018","chr2:101977538-101981036",0.444027698905087
"chr2:102184759-102187018","chr2:101981793-101984084",0.286769349651604
"chr2:102184759-102187018","chr2:102001908-102004556",0.219534836815519
"chr2:102184759-102187018","chr2:102036834-102039648",0.238350917287451
"chr2:102184759-102187018","chr2:102406015-102408412",0.282654333191026
"chr2:102184759-102187018","chr2:102447704-102448244",0.404438336337548
"chr2:102184759-102187018","chr2:102463396-102464626",0.463774310619996
"chr2:102201085-102202603","chr2:102052354-102053633",0.297557578657196
"chr2:102201085-102202603","chr2:102145986-102147149",0.348404715983307
"chr2:102223041-102224521","chr2:102005368-102006786",0.219703397581761
"chr2:102223041-102224521","chr2:102036834-102039648",0.279361894980746
"chr2:102223041-102224521","chr2:102256955-102259648",0.233175414098154
"chr2:102256955-102259648","chr2:102029344-102031139",0.302838041815944
"chr2:102256955-102259648","chr2:102223041-102224521",0.233175414098154
"chr2:102277242-102278333","chr2:102049910-102050970",0.46659366925993
"chr2:102277242-102278333","chr2:102056988-102057798",0.460318269057402
"chr2:102336732-102337325","chr2:102029344-102031139",0.264550442702649
"chr2:102336732-102337325","chr2:102036834-102039648",0.265370743759333
"chr2:102336732-102337325","chr2:102056988-102057798",0.219069583875174
"chr2:102336732-102337325","chr2:102743929-102746231",0.249331636269494
"chr2:102399499-102401874","chr2:102005368-102006786",0.272823227819037
"chr2:102399499-102401874","chr2:102029344-102031139",0.283371468224473
"chr2:102406015-102408412","chr2:102001908-102004556",0.379277522180911
"chr2:102406015-102408412","chr2:102036834-102039648",0.259834526721608
"chr2:102406015-102408412","chr2:102127978-102129744",0.322970837110998
"chr2:102406015-102408412","chr2:102184759-102187018",0.282654333191026
"chr2:102406015-102408412","chr2:102447704-102448244",0.313315127676396
"chr2:102406015-102408412","chr2:102463396-102464626",0.468068696667384
"chr2:102406015-102408412","chr2:102598645-102600501",0.38517726294729
"chr2:102406015-102408412","chr2:102620595-102621263",0.270507131993046
"chr2:102406015-102408412","chr2:102656002-102656672",0.216067714915595
"chr2:102406015-102408412","chr2:102730222-102731367",0.206274618039681
"chr2:102406015-102408412","chr2:102743929-102746231",0.316809841495852
"chr2:102430955-102431875","chr2:102024227-102025310",0.202660134070905
"chr2:102430955-102431875","chr2:102094306-102095788",0.298041477189156
"chr2:102447704-102448244","chr2:102001908-102004556",0.260241288710156
"chr2:102447704-102448244","chr2:102036834-102039648",0.204725035214545
"chr2:102447704-102448244","chr2:102127978-102129744",0.209563812801062
"chr2:102447704-102448244","chr2:102184759-102187018",0.404438336337548
"chr2:102447704-102448244","chr2:102406015-102408412",0.313315127676396
"chr2:102447704-102448244","chr2:102463396-102464626",0.577845069418981
"chr2:102447704-102448244","chr2:102598645-102600501",0.216686151051209
"chr2:102447704-102448244","chr2:102620595-102621263",0.327642901009727
"chr2:102447704-102448244","chr2:102743929-102746231",0.320889612384353
"chr2:102463396-102464626","chr2:102001908-102004556",0.399600298986511
"chr2:102463396-102464626","chr2:102036834-102039648",0.312925871015979
"chr2:102463396-102464626","chr2:102100093-102100637",0.249459041744893
"chr2:102463396-102464626","chr2:102127978-102129744",0.340393295666629
"chr2:102463396-102464626","chr2:102130398-102130912",0.246166589762051
"chr2:102463396-102464626","chr2:102184759-102187018",0.463774310619996
"chr2:102463396-102464626","chr2:102406015-102408412",0.468068696667384
"chr2:102463396-102464626","chr2:102447704-102448244",0.577845069418981
"chr2:102463396-102464626","chr2:102598645-102600501",0.35510679048304
"chr2:102463396-102464626","chr2:102620595-102621263",0.56643532287605
"chr2:102463396-102464626","chr2:102675298-102675725",0.300924598911412
"chr2:102463396-102464626","chr2:102730222-102731367",0.307218104940254
"chr2:102463396-102464626","chr2:102743929-102746231",0.548941769293122
"chr2:102541360-102542101","chr2:102552154-102552749",0.386598276194475
"chr2:102541360-102542101","chr2:102807377-102808217",0.204054646301809
"chr2:102552154-102552749","chr2:102541360-102542101",0.386598276194475
"chr2:102552154-102552749","chr2:102807377-102808217",0.348172707433241
"chr2:102598645-102600501","chr2:102406015-102408412",0.38517726294729
"chr2:102598645-102600501","chr2:102447704-102448244",0.216686151051209
"chr2:102598645-102600501","chr2:102463396-102464626",0.355106790483041
"chr2:102598645-102600501","chr2:102635632-102636562",0.271230167429541
"chr2:102598645-102600501","chr2:102656002-102656672",0.341102144164433
"chr2:102598645-102600501","chr2:102730222-102731367",0.233202856945324
"chr2:102598645-102600501","chr2:102743929-102746231",0.217705317072439
"chr2:102598645-102600501","chr2:102873750-102874489",0.205589660138224
"chr2:102598645-102600501","chr2:102900790-102902049",0.213277108712059
"chr2:102620595-102621263","chr2:102406015-102408412",0.270507131993046
"chr2:102620595-102621263","chr2:102447704-102448244",0.327642901009727
"chr2:102620595-102621263","chr2:102463396-102464626",0.56643532287605
"chr2:102620595-102621263","chr2:102743929-102746231",0.373685507853832
"chr2:102620595-102621263","chr2:102900790-102902049",0.212830147626346
"chr2:102635632-102636562","chr2:102598645-102600501",0.271230167429541
"chr2:102638166-102639265","chr2:102685493-102686443",0.342146109036858
"chr2:102656002-102656672","chr2:102406015-102408412",0.216067714915595
"chr2:102656002-102656672","chr2:102598645-102600501",0.341102144164433
"chr2:102675298-102675725","chr2:102463396-102464626",0.300924598911412
"chr2:102675298-102675725","chr2:102676287-102676675",0.495169876892523
"chr2:102676287-102676675","chr2:102675298-102675725",0.495169876892523
"chr2:102685493-102686443","chr2:102638166-102639265",0.342146109036858
"chr2:102730222-102731367","chr2:102406015-102408412",0.206274618039681
"chr2:102730222-102731367","chr2:102463396-102464626",0.307218104940254
"chr2:102730222-102731367","chr2:102598645-102600501",0.233202856945324
"chr2:102730222-102731367","chr2:102743929-102746231",0.331035168858329
"chr2:102743929-102746231","chr2:102336732-102337325",0.249331636269494
"chr2:102743929-102746231","chr2:102406015-102408412",0.316809841495852
"chr2:102743929-102746231","chr2:102447704-102448244",0.320889612384353
"chr2:102743929-102746231","chr2:102463396-102464626",0.548941769293122
"chr2:102743929-102746231","chr2:102598645-102600501",0.217705317072439
"chr2:102743929-102746231","chr2:102620595-102621263",0.373685507853832
"chr2:102743929-102746231","chr2:102730222-102731367",0.331035168858329
"chr2:102743929-102746231","chr2:102900790-102902049",0.332245967989563
"chr2:102807377-102808217","chr2:102541360-102542101",0.204054646301809
"chr2:102807377-102808217","chr2:102552154-102552749",0.348172707433241
"chr2:102807377-102808217","chr2:102942646-102944834",0.262281901314711
"chr2:102873750-102874489","chr2:102598645-102600501",0.205589660138224
"chr2:102900790-102902049","chr2:102598645-102600501",0.213277108712059
"chr2:102900790-102902049","chr2:102620595-102621263",0.212830147626346
"chr2:102900790-102902049","chr2:102743929-102746231",0.332245967989562
"chr2:102942646-102944834","chr2:102807377-102808217",0.262281901314711
"chr2:103072689-103074640","chr2:103483964-103486084",0.259785529010508
"chr2:103200439-103200684","chr2:103201474-103202142",0.27514279557898
"chr2:103201474-103202142","chr2:103200439-103200684",0.27514279557898
"chr2:103304285-103304880","chr2:103667983-103670857",0.219348791907034
"chr2:103304285-103304880","chr2:103682148-103683566",0.258647790517639
"chr2:103483964-103486084","chr2:103072689-103074640",0.259785529010508
"chr2:103564392-103568586","chr2:103610797-103611624",0.232833792311886
"chr2:103564392-103568586","chr2:103667983-103670857",0.221158728063199
"chr2:103564392-103568586","chr2:103891135-103891808",0.271540079884332
"chr2:103591925-103593112","chr2:103610797-103611624",0.304495863840957
"chr2:103591925-103593112","chr2:103685080-103685567",0.202468936713525
"chr2:103591925-103593112","chr2:103759681-103762531",0.229412643516442
"chr2:103591925-103593112","chr2:103795494-103798764",0.228916871405925
"chr2:103610797-103611624","chr2:103564392-103568586",0.232833792311886
"chr2:103610797-103611624","chr2:103591925-103593112",0.304495863840957
"chr2:103610797-103611624","chr2:103685080-103685567",0.26799702352352
"chr2:103610797-103611624","chr2:103795494-103798764",0.328265835376186
"chr2:103618376-103618678","chr2:103690207-103691440",0.271051766332012
"chr2:103625049-103626102","chr2:103667983-103670857",0.310994986677748
"chr2:103625049-103626102","chr2:103682148-103683566",0.31884162743432
"chr2:103625049-103626102","chr2:103690207-103691440",0.354170412607516
"chr2:103643724-103644875","chr2:103682148-103683566",0.203253920502045
"chr2:103667983-103670857","chr2:103304285-103304880",0.219348791907034
"chr2:103667983-103670857","chr2:103564392-103568586",0.221158728063199
"chr2:103667983-103670857","chr2:103625049-103626102",0.310994986677748
"chr2:103667983-103670857","chr2:103682148-103683566",0.632928673690312
"chr2:103667983-103670857","chr2:103690207-103691440",0.601438994344374
"chr2:103682148-103683566","chr2:103304285-103304880",0.258647790517639
"chr2:103682148-103683566","chr2:103625049-103626102",0.31884162743432
"chr2:103682148-103683566","chr2:103643724-103644875",0.203253920502045
"chr2:103682148-103683566","chr2:103667983-103670857",0.632928673690312
"chr2:103682148-103683566","chr2:103690207-103691440",0.659190729585715
"chr2:103682148-103683566","chr2:103927535-103931829",0.205042672579664
"chr2:103685080-103685567","chr2:103591925-103593112",0.202468936713525
"chr2:103685080-103685567","chr2:103610797-103611624",0.26799702352352
"chr2:103685080-103685567","chr2:103759681-103762531",0.229849903328366
"chr2:103685080-103685567","chr2:103795494-103798764",0.335660330903707
"chr2:103690207-103691440","chr2:103618376-103618678",0.271051766332012
"chr2:103690207-103691440","chr2:103625049-103626102",0.354170412607516
"chr2:103690207-103691440","chr2:103667983-103670857",0.601438994344374
"chr2:103690207-103691440","chr2:103682148-103683566",0.659190729585715
"chr2:103690207-103691440","chr2:103696150-103696546",0.230182820741265
"chr2:103696150-103696546","chr2:103690207-103691440",0.230182820741265
"chr2:10370206-10375844","chr2:10079297-10081585",0.261835179069408
"chr2:103759681-103762531","chr2:103591925-103593112",0.229412643516442
"chr2:103759681-103762531","chr2:103685080-103685567",0.229849903328366
"chr2:103759681-103762531","chr2:103795494-103798764",0.416429986661841
"chr2:103759681-103762531","chr2:104119824-104120647",0.254027390116084
"chr2:103759681-103762531","chr2:104122083-104124107",0.284153287882316
"chr2:103795494-103798764","chr2:103591925-103593112",0.228916871405925
"chr2:103795494-103798764","chr2:103610797-103611624",0.328265835376186
"chr2:103795494-103798764","chr2:103685080-103685567",0.335660330903707
"chr2:103795494-103798764","chr2:103759681-103762531",0.416429986661841
"chr2:103795494-103798764","chr2:103948262-103948663",0.204128988698995
"chr2:103795494-103798764","chr2:104027232-104028859",0.393400398478471
"chr2:103795494-103798764","chr2:104119824-104120647",0.338180538807594
"chr2:103795494-103798764","chr2:104122083-104124107",0.274131632852785
"chr2:103864999-103866243","chr2:104034780-104035444",0.429009289139197
"chr2:103871441-103872696","chr2:103952505-103953995",0.259207755823945
"chr2:103891135-103891808","chr2:103564392-103568586",0.271540079884332
"chr2:103927535-103931829","chr2:103682148-103683566",0.205042672579664
"chr2:103927535-103931829","chr2:103952505-103953995",0.388050121172202
"chr2:103948262-103948663","chr2:103795494-103798764",0.204128988698995
"chr2:103948262-103948663","chr2:104119824-104120647",0.276738613834681
"chr2:103952505-103953995","chr2:103871441-103872696",0.259207755823945
"chr2:103952505-103953995","chr2:103927535-103931829",0.388050121172202
"chr2:103952505-103953995","chr2:103992090-103993389",0.201581013245335
"chr2:103952505-103953995","chr2:104205012-104206211",0.318984349202652
"chr2:103992090-103993389","chr2:103952505-103953995",0.201581013245335
"chr2:104027232-104028859","chr2:103795494-103798764",0.393400398478471
"chr2:104027232-104028859","chr2:104492702-104495481",0.290870754629668
"chr2:104034780-104035444","chr2:103864999-103866243",0.429009289139197
"chr2:104119824-104120647","chr2:103759681-103762531",0.254027390116084
"chr2:104119824-104120647","chr2:103795494-103798764",0.338180538807594
"chr2:104119824-104120647","chr2:103948262-103948663",0.276738613834681
"chr2:104119824-104120647","chr2:104122083-104124107",0.23281408126169
"chr2:104119824-104120647","chr2:104256332-104257018",0.356959240055529
"chr2:104119824-104120647","chr2:104260001-104260249",0.301443530271602
"chr2:104119824-104120647","chr2:104282257-104284274",0.456282314116934
"chr2:104119824-104120647","chr2:104326688-104328071",0.436295119627684
"chr2:104119824-104120647","chr2:104492702-104495481",0.217827685295794
"chr2:104122083-104124107","chr2:103759681-103762531",0.284153287882316
"chr2:104122083-104124107","chr2:103795494-103798764",0.274131632852785
"chr2:104122083-104124107","chr2:104119824-104120647",0.23281408126169
"chr2:104176062-104177456","chr2:104367110-104369500",0.220378528339335
"chr2:104205012-104206211","chr2:103952505-103953995",0.318984349202652
"chr2:104205012-104206211","chr2:104217937-104219401",0.287619186188544
"chr2:104217937-104219401","chr2:104205012-104206211",0.287619186188544
"chr2:104217937-104219401","chr2:104282257-104284274",0.256439723396394
"chr2:104217937-104219401","chr2:104316249-104319447",0.393196937791859
"chr2:104217937-104219401","chr2:104326688-104328071",0.329304720364646
"chr2:104251037-104253444","chr2:104367110-104369500",0.437161620135944
"chr2:104251037-104253444","chr2:104740811-104743690",0.238722402483798
"chr2:104256332-104257018","chr2:104119824-104120647",0.356959240055529
"chr2:104260001-104260249","chr2:104119824-104120647",0.301443530271602
"chr2:104282257-104284274","chr2:104119824-104120647",0.456282314116934
"chr2:104282257-104284274","chr2:104217937-104219401",0.256439723396394
"chr2:104282257-104284274","chr2:104326688-104328071",0.465268662339346
"chr2:104305767-104306313","chr2:104316249-104319447",0.207263110841973
"chr2:104316249-104319447","chr2:104217937-104219401",0.393196937791859
"chr2:104316249-104319447","chr2:104305767-104306313",0.207263110841973
"chr2:104326688-104328071","chr2:104119824-104120647",0.436295119627684
"chr2:104326688-104328071","chr2:104217937-104219401",0.329304720364646
"chr2:104326688-104328071","chr2:104282257-104284274",0.465268662339346
"chr2:104358767-104359304","chr2:104367110-104369500",0.312700927975885
"chr2:104367110-104369500","chr2:104176062-104177456",0.220378528339335
"chr2:104367110-104369500","chr2:104251037-104253444",0.437161620135944
"chr2:104367110-104369500","chr2:104358767-104359304",0.312700927975885
"chr2:104367110-104369500","chr2:104740811-104743690",0.211142372827845
"chr2:104492702-104495481","chr2:104027232-104028859",0.290870754629668
"chr2:104492702-104495481","chr2:104119824-104120647",0.217827685295794
"chr2:104492702-104495481","chr2:104589460-104592306",0.303401936748931
"chr2:104589460-104592306","chr2:104492702-104495481",0.303401936748931
"chr2:104589460-104592306","chr2:104813926-104818315",0.310664876339943
"chr2:104740811-104743690","chr2:104251037-104253444",0.238722402483798
"chr2:104740811-104743690","chr2:104367110-104369500",0.211142372827845
"chr2:104813926-104818315","chr2:104589460-104592306",0.310664876339943
"chr2:105108521-105109476","chr2:105398118-105400021",0.486049091558281
"chr2:105122306-105129384","chr2:105130138-105135450",0.216551084010775
"chr2:105130138-105135450","chr2:105122306-105129384",0.216551084010775
"chr2:105130138-105135450","chr2:105284353-105285713",0.206412340275545
"chr2:105130138-105135450","chr2:105303560-105304853",0.249603021305801
"chr2:105130138-105135450","chr2:105415593-105417525",0.276626670683181
"chr2:105256487-105257269","chr2:105284353-105285713",0.210370619471819
"chr2:105256487-105257269","chr2:105303560-105304853",0.215427190818551
"chr2:105282241-105283343","chr2:105284353-105285713",0.280748573070837
